job_id,url,title,company,location,meta_line,pills,promoted_line,apply_type,contacts,jd_length,score,decision,reasons,extracted_at
4368237823,https://www.linkedin.com/jobs/view/4368237823/,Platform Engineer,Attio,United Kingdom,United Kingdom · 4 hours ago · 24 people clicked apply Promoted by hirer · Responses managed off LinkedIn,,United Kingdom · 4 hours ago · 24 people clicked apply Promoted by hirer · Responses managed off LinkedIn,Unknown,,5745,7.0,MAYBE,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:37:25
4357425057,https://www.linkedin.com/jobs/view/4357425057/,Back End Developer / SRE Java JVM - Fintech - Client Server,Jobster,"London, England, United Kingdom","London, England, United Kingdom · 1 day ago · 5 people clicked apply Responses managed off LinkedIn",,"London, England, United Kingdom · 1 day ago · 5 people clicked apply Responses managed off LinkedIn",Unknown,,2490,5.5,REJECT,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:37:38
4368219114,https://www.linkedin.com/jobs/view/4368219114/,DevOps Engineer,PA Consulting,"London, England, United Kingdom","London, England, United Kingdom · 8 hours ago · 21 people clicked apply Promoted by hirer · Responses managed off LinkedIn",,"London, England, United Kingdom · 8 hours ago · 21 people clicked apply Promoted by hirer · Responses managed off LinkedIn",Unknown,,8101,5.5,REJECT,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:37:48
4352810950,https://www.linkedin.com/jobs/view/4352810950/,DevOps Engineer (Openshift & Azure),"Nordcloud, an IBM Company","London, England, United Kingdom","London, England, United Kingdom · Reposted 2 hours ago · 42 people clicked apply Promoted by hirer · Responses managed off LinkedIn",,"London, England, United Kingdom · Reposted 2 hours ago · 42 people clicked apply Promoted by hirer · Responses managed off LinkedIn",Unknown,,4121,5.5,MAYBE,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:37:58
4367887164,https://www.linkedin.com/jobs/view/4367887164/,Back End Developer / SRE Java JVM - Fintech - Client Server,Jobster,"London, England, United Kingdom","London, England, United Kingdom · 1 day ago · 5 people clicked apply Responses managed off LinkedIn",,"London, England, United Kingdom · 1 day ago · 5 people clicked apply Responses managed off LinkedIn",Unknown,,2490,5.5,REJECT,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:38:07
4368260285,https://www.linkedin.com/jobs/view/4368260285/,Senior Cloud Platform Engineer,Prolific,"London, England, United Kingdom","London, England, United Kingdom · 3 hours ago · 14 people clicked apply Responses managed off LinkedIn",,"London, England, United Kingdom · 3 hours ago · 14 people clicked apply Responses managed off LinkedIn",Unknown,,4028,7.5,APPLY,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:38:19
4368684322,https://www.linkedin.com/jobs/view/4368684322/,Senior DevOps Engineer,OnBuy,United Kingdom,United Kingdom · 5 hours ago · 20 people clicked apply Promoted by hirer · Responses managed off LinkedIn,,United Kingdom · 5 hours ago · 20 people clicked apply Promoted by hirer · Responses managed off LinkedIn,Unknown,,6552,5.5,MAYBE,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:38:29
4354813624,https://www.linkedin.com/jobs/view/4354813624/,"Site Reliability Engineer, Inference Infrastructure",Cohere,"London, England, United Kingdom","London, England, United Kingdom · Reposted 13 hours ago · 60 people clicked apply Promoted by hirer · Responses managed off LinkedIn",,"London, England, United Kingdom · Reposted 13 hours ago · 60 people clicked apply Promoted by hirer · Responses managed off LinkedIn",Unknown,,4478,5.5,MAYBE,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:38:40
4368251266,https://www.linkedin.com/jobs/view/4368251266/,Senior DevOps Engineer,Footprint IT Solutions,United Kingdom,United Kingdom · 4 hours ago · 23 people clicked apply Promoted by hirer · Responses managed off LinkedIn,,United Kingdom · 4 hours ago · 23 people clicked apply Promoted by hirer · Responses managed off LinkedIn,Unknown,,1872,5.5,MAYBE,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:38:55
4357400508,https://www.linkedin.com/jobs/view/4357400508/,Principal DevOps Engineer,Trust In SODA,"London Area, United Kingdom","London Area, United Kingdom · 11 hours ago · 26 applicants Promoted by hirer · Company review time is typically 1 week",,"Skip to search Skip to main content Keyboard shortcuts Close jump menu Search by title, skill, or company City, state, or zip code Search new feed updates notifications Home My Network Jobs Messaging 4 4 new notifications Notifications Me For Business Learning Jobs search Jobs Past week Mid-Senior level 1 Full-time 1 Remote 2 All filters Reset Try the new job search (""platform engineer"" OR ""devops engineer"" OR ""site reliability engineer"" OR sre) in Greater London, England, United Kingdom 31 results Alert on Set job alert for (""platform engineer"" OR ""devops engineer"" OR ""site reliability engineer"" OR sre) in Greater London, England, United Kingdom Jump to active job details Jump to active search result Senior DevOps Engineer Senior DevOps Engineer UK Home Office Croydon, England, United Kingdom (Hybrid) 44 school alumni work here 44 Keele University school alumni work here Viewed Promoted DevOps Engineer DevOps Engineer with verification OpticoreIT London, England, United Kingdom (Hybrid) You’d be a top applicant Viewed Promoted Lead DevOps Engineer Lead DevOps Engineer with verification LSEG London, England, United Kingdom (Hybrid) 2 connections work here Viewed Promoted Lead Site Reliability Engineer Lead Site Reliability Engineer with verification Cancer Research UK (CRUK) Stratford, England, United Kingdom (Hybrid) 7 school alumni work here 7 Keele University school alumni work here Viewed Be an early applicant Site Reliability Engineer Site Reliability Engineer with verification FutureLearn London, England, United Kingdom (Hybrid) £75K/yr - £85K/yr Viewed Backend Software Engineer / SRE Java JVM Backend Software Engineer / SRE Java JVM with verification Client Server London, England, United Kingdom (Hybrid) £90K/yr - £110K/yr You’d be a top applicant Viewed Promoted Easy Apply Senior Platform Engineer Senior Platform Engineer Henry Schein One UK United Kingdom (Remote) Viewed Principle Site Reliability Engineer Principle Site Reliability Engineer Capgemini London, England, United Kingdom (Hybrid) 1 connection works here Viewed DevOps Platform Engineer DevOps Platform Engineer with verification IBM London, England, United Kingdom (Hybrid) 1 connection works here Viewed Promoted Senior Cloud DevOps Engineer Senior Cloud DevOps Engineer with verification Speedcast England, United Kingdom (Remote) Viewed Promoted Platform Engineer Platform Engineer Attio United Kingdom (Remote) You’d be a top applicant Viewed Promoted DevOps Engineer DevOps Engineer with verification PA Consulting London, England, United Kingdom (Hybrid) You’d be a top applicant Viewed Promoted DevOps Engineer (Openshift & Azure) DevOps Engineer (Openshift & Azure) with verification Nordcloud, an IBM Company London, England, United Kingdom (Hybrid) You’d be a top applicant Viewed Promoted Back End Developer / SRE Java JVM - Fintech - Client Server Back End Developer / SRE Java JVM - Fintech - Client Server Jobster London, England, United Kingdom (Hybrid) Viewed Be an early applicant Senior Systems Platform Engineer Senior Systems Platform Engineer with verification Mastercard London, England, United Kingdom (Hybrid) 1 connection works here Viewed Promoted Senior Cloud Platform Engineer Senior Cloud Platform Engineer Prolific London, England, United Kingdom (Remote) You’d be a top applicant Viewed Senior DevOps Engineer Senior DevOps Engineer with verification OnBuy United Kingdom (Remote) £90K/yr Viewed Promoted Site Reliability Engineer, Inference Infrastructure Site Reliability Engineer, Inference Infrastructure with verification Cohere London, England, United Kingdom (Hybrid) You’d be a top applicant Viewed Promoted Senior DevOps Engineer Senior DevOps Engineer Footprint IT Solutions United Kingdom (Remote) You’d be a top applicant Viewed Promoted Senior Site Reliability Engineer Senior Site Reliability Engineer with verification Canonical EMEA (Remote) Viewed Principal DevOps Engineer Principal DevOps Engineer Trust In SODA London Area, United Kingdom (Remote) £80K/yr - £120K/yr Company review time is typically 1 week Viewed Promoted Easy Apply Senior Data Platform Engineer - London Senior Data Platform Engineer - London with verification Simple Machines London, England, United Kingdom (Hybrid) Company review time is typically 1 week Viewed Promoted Easy Apply Azure DevOps/Platform Engineer Azure DevOps/Platform Engineer with verification Tenth Revolution Group United Kingdom (Remote) Company review time is typically 1 week Viewed Promoted Easy Apply DevOps Engineer DevOps Engineer with verification Propel EMEA (Remote) Company review time is typically 1 week Viewed Easy Apply Are these results helpful? Your feedback helps us improve search results. Are you finding what you’re looking for? No Are you finding what you’re looking for? Yes 1 2 Next About Accessibility Help Center Privacy & Terms Ad Choices Advertising Business Services Get the LinkedIn app More LinkedIn Corporation © 2026 Trust In SODA Share Show more options Principal DevOps Engineer London Area, United Kingdom · 11 hours ago · 26 applicants Promoted by hirer · Company review time is typically 1 week £80K/yr - £120K/yr Remote Matches your job preferences, workplace type is Remote. Full-time Matches your job preferences, job type is Full-time. Easy Apply Save Save Principal DevOps Engineer at Trust In SODA Principal DevOps Engineer Trust In SODA · London Area, United Kingdom (Remote) Easy Apply Save Save Principal DevOps Engineer at Trust In SODA Show more options You’d be a top applicant, we can help you stand out Your profile matches several of the required qualifications Show match details Tailor my resume Help me update my profile Create cover letter BETA Is this information helpful? People you can reach out to Adam profile photo Adam Brinkley Adam Brinkley is verified · 1st Head of Perm UK&I at Trust In SODA Message About the job 💼 Principal/Senior DevOps & Network Automation Engineer 👔 AI Infrastructure Startup 📍 Remote UK 💵 £120k + Benefits Do you want to work for a pioneering tech company that’s redefining how AI infrastructure is built and scaled? Do you want to work in a business critical technical role, utilising all the latest technologies within DevOps, HPC and AI? My client are a rapidly scaling HPC Cloud & Compute firm who are setting new standards in AI infrastructure. They are backed by leading investors and have just received Series B funding which they will be putting towards a huge tech scale-out. They are looking for a Principal and Senior DevOps & Network Automation Engineers to join their team and play a pivotal role in the ongoing scaling and optimisation of their platform. Required Skills: • OnPrem Networking (TCP/IP, BGP, DNS, EVPN, VXLAN, SR-IOV) • Automation (Ansible, Terraform) • GitOps pipelines (ArgoCD, Flux) • Scripting/Programming (Python, Go, Bash) • Bare-metal and cloud environments (AWS, GCP, Azure, OnPrem) • Kubernetes, containerisation, and CNI plugins • Linux systems administration, CI/CD pipelines, observability stacks In return they would be offering a competitive salary along with a number of top benefits: Benefits: ✓ Fully Remote working ✓ Equity ✓ 30 days annual leave (+ public holidays) ✓ £400 work-from-home allowance ✓ 5% pension ✓ Private Medical insurance ✓ 12 Learning & Development days per year + dedicated budget ✓ Flexi-Time If you’re ready to lead large-scale automation initiatives and shape the future of AI infrastructure, apply today! Benefits found in job post Medical insurance See how you compare to other applicants Applicants for this job 26 Applicants 26 Applicants in the past day Applicant seniority level 55% Senior level applicants 40% Entry level applicants Applicant education level 62%have a Bachelor's Degree 24%have a Master's Degree 14%have a Master of Business Administration Exclusive Job Seeker Insights about Trust In SODA The latest hiring trend 92 Total employees 37% Company-wide 2 year growth 37% increase 0% Information Technology 2 year growth No change Chart Chart with 25 data points. The chart has 1 X axis displaying Time. Range: 2023-10-14 08:24:00 to 2026-03-09 13:12:00. The chart has 1 Y axis displaying values. Range: 0 to 100. Feb 2024 Aug 2024 Feb 2025 Aug 2025 Feb 2026 0 50 100 End of interactive chart. Median employee tenure ‧ 2.8 years Show more Premium insights About the company Trust In SODA 346,541 followers Follow Staffing and Recruiting 51-200 employees 92 on LinkedIn We are community-led digital tech recruiters, delivering diverse talent and world-class customer experiences across the UK, Ireland, Germany, Switzerland, and the US. SODA are proud winners of the Best Technology Recruitment Agency, awarded by the British Recruitment Awards in November 2025. We are proudly B Corp certified, joining a global network of organisations dedicated to using their platform as a force for positive change. Operating out of Berlin, Boston, Dublin, London, and Zurich, the SODA team specialises in permanent and contract recruitment across Software Engineering, Cloud & Infrastructure, DevOps, Data, and Creative. We are part of Trinnovo Group, united by a shared mission to build diversity, create inclusion, and encourage workplace innovation. Our communities are: • Ex-Military Careers – Bridging the gap between the military and a meaningful civilian career • Women in DevOps – Closing the DevOps gender gap and inspiring future leaders in tech • Pride in Tech – Creating a kinder and safer space for queer people in technology Our group awards and accreditations include: • B Corp Certified • Technology Recruitment Agency of the Year, British Rec Awards 2025 • Recruiter fast 50 (number 1) 2025 (Trinnovo Group) • TIARA Talent Award for Excellence in Onboarding 2025 • Recruiter Award for Diversity, Equality, and Inclusivity Service Excellence 2024 • SIA Top 100 Europe Staffing Leaders, 2024 • Investors in People Platinum • TIARA's 'Best Company to Work for (£20-£50m)' Award, 2022 & 2021 & 2020 • TIARA’s ‘Diversity, Equity & Inclusion’ Award 2022 • APSCo 'Diversity & Inclusion' Award for Excellence, 2018 • SIA 'Best Staffing Firms to Work for across the US' 2022 • Best Companies' 3-Star Accreditation 2022 & 2021 • Tiara's 'Growth Award' 2021 & 2020 • Tiara's 'Recruitment Leader of the Year' 2021 Trust our people. Trust our network. Trust In SODA. Get in touch with us on LinkedIn or visit our website at www.trustinsoda.com to find out more. … show more Show more Status is online Messaging You are on the messaging overlay. Press enter to open the list of conversations. Compose message You are on the messaging overlay. Press enter to open the list of conversations.",Unknown,,1597,7.5,APPLY,jd_sel=div.jobs-description__content; card_sel=div.job-card-container[data-job-id],2026-02-03T20:39:11
